# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Full Version
# File: D:\Altera DE2-115\DE2-115_v.3.0.6_SystemCD\DE2_115_demonstrations\DE2_115_USB_DEVICE\HW\DE2_115_USB_DEVICE_LED.csv
# Generated on: Fri Dec 21 09:48:59 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
HEX4_D[0],Unknown,PIN_AB19,4,B4_N0,3.3-V LVTTL,,,,
HEX4_D[1],Unknown,PIN_AA19,4,B4_N0,3.3-V LVTTL,,,,
HEX4_D[2],Unknown,PIN_AG21,4,B4_N2,3.3-V LVTTL,,,,
HEX4_D[3],Unknown,PIN_AH21,4,B4_N2,3.3-V LVTTL,,,,
HEX4_D[4],Unknown,PIN_AE19,4,B4_N1,3.3-V LVTTL,,,,
HEX4_D[5],Unknown,PIN_AF19,4,B4_N1,3.3-V LVTTL,,,,
HEX4_D[6],Unknown,PIN_AE18,4,B4_N2,3.3-V LVTTL,,,,

HEX5_D[0],Unknown,PIN_AD18,4,B4_N1,3.3-V LVTTL,,,,
HEX5_D[1],Unknown,PIN_AC18,4,B4_N1,3.3-V LVTTL,,,,
HEX5_D[2],Unknown,PIN_AB18,4,B4_N0,3.3-V LVTTL,,,,
HEX5_D[3],Unknown,PIN_AH19,4,B4_N2,3.3-V LVTTL,,,,
HEX5_D[4],Unknown,PIN_AG19,4,B4_N2,3.3-V LVTTL,,,,
HEX5_D[5],Unknown,PIN_AF18,4,B4_N1,3.3-V LVTTL,,,,
HEX5_D[6],Unknown,PIN_AH18,4,B4_N2,3.3-V LVTTL,,,,

HEX6_D[0],Unknown,PIN_AA17,4,B4_N1,3.3-V LVTTL,,,,
HEX6_D[1],Unknown,PIN_AB16,4,B4_N2,3.3-V LVTTL,,,,
HEX6_D[2],Unknown,PIN_AA16,4,B4_N2,3.3-V LVTTL,,,,
HEX6_D[3],Unknown,PIN_AB17,4,B4_N1,3.3-V LVTTL,,,,
HEX6_D[4],Unknown,PIN_AB15,4,B4_N2,3.3-V LVTTL,,,,
HEX6_D[5],Unknown,PIN_AA15,4,B4_N2,3.3-V LVTTL,,,,
HEX6_D[6],Unknown,PIN_AC17,4,B4_N2,3.3-V LVTTL,,,,

HEX7_D[0],Unknown,PIN_AD17,4,B4_N2,3.3-V LVTTL,,,,
HEX7_D[1],Unknown,PIN_AE17,4,B4_N2,3.3-V LVTTL,,,,
HEX7_D[2],Unknown,PIN_AG17,4,B4_N2,3.3-V LVTTL,,,,
HEX7_D[3],Unknown,PIN_AH17,4,B4_N2,3.3-V LVTTL,,,,
HEX7_D[4],Unknown,PIN_AF17,4,B4_N2,3.3-V LVTTL,,,,
HEX7_D[5],Unknown,PIN_AG18,4,B4_N2,3.3-V LVTTL,,,,
HEX7_D[6],Unknown,PIN_AA14,3,B3_N0,3.3-V LVTTL,,,,
